number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
2833,2020-03-16T06:28:42Z,2020-04-04T10:07:12Z,2020-04-04T10:07:12Z,5,28,16,"我的初衷:

使用.Net Core 3.1 以实现不需要安装任何.Net 环境，直接启动并运行， 也不依赖于各种C++库。
使用.Net 4.7.2 针对已安装.Net 框架的用户， 并保持开发时设计器可用


 csproj file upgraded to new format
 add .Net Core 3.1
 add .Net 4.7.2
 modify for ci
  待celeron533/BouncyCastle 移除纯 x86 DLL后进行调整
  菜单重复显示问题
   移除 .NET Framework",4,26
2835,2020-03-26T17:32:09Z,2020-04-04T11:02:55Z,2020-04-04T11:02:55Z,1,210,210,"Searched for similar pull requests
 Compiled the code with Visual Studio
 Require translation update
 Require document update (readme.md, wikipage, etc)

What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Other information
The translation file format of the master branch and 4.1.9.2 release is different, please let me know if you need 4.1.9.2 translation created with create translation template button.",1,1
2846,2020-04-05T08:59:36Z,2020-04-09T13:27:07Z,2020-04-09T13:27:07Z,1,11,2,"Please follow the guide below

 Searched for similar pull requests
 Compiled the code with Visual Studio
 Require translation update
 Require document update (readme.md, wikipage, etc)

What is the purpose of your pull request?

 Bug fix


Description
Avoid application crash when not having file permissions to setup default NLog.config. See also #2841",2,1
2855,2020-04-18T03:25:38Z,2020-04-22T10:39:53Z,2020-04-22T10:39:53Z,7,292,42,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Added an option to allow association with ss:// URLs.
This PR was made at the request of @studentmain . Credit goes to @studentmain for most of the code 👨‍💻!",3,6
2858,2020-04-19T20:46:59Z,2020-04-21T08:53:48Z,2020-04-21T08:53:48Z,1,6,0,Fixes #2857,3,1
2861,2020-04-22T06:35:28Z,2020-04-23T13:51:30Z,2020-04-23T13:51:30Z,1,214,214,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Add French translation (first version) to i18n.csv",3,2
2865,2020-04-24T10:50:20Z,2020-04-25T02:38:09Z,2020-04-25T02:38:09Z,10,425,223,,7,0
2866,2020-04-24T23:56:32Z,,2020-10-10T05:18:32Z,14,33,38,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Added initial capacity for collecions inpaces where it is possible, removed some excessive code.",2,2
2871,2020-04-28T19:34:33Z,2020-05-01T03:07:48Z,2020-05-01T03:07:48Z,1,32,32,"Searched for similar pull requests
 Compiled the code with Visual Studio
 Require translation update
 Require document update (readme.md, wikipage, etc)

What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Added Missing Lines, Fixed Grammar and Typo and Corrected Wrong Translation. Based By #2835",3,2
2872,2020-04-29T02:49:00Z,2020-05-06T14:19:03Z,2020-05-06T14:19:04Z,2,235,143,"Please follow the guide below


You will be asked some questions, please read them carefully and answer honestly


Put an x into all the boxes [ ] relevant to your pull request (like that [x])


Use Preview tab to see how your pull request will actually look like


 Searched for similar pull requests


 Compiled the code with Visual Studio


 Require translation update


 Require document update (readme.md, wikipage, etc)


What is the purpose of your pull request?

 Bug fix
 Improvement
 New feature


Description of your pull request and other information
Using event to update statistic data.",2,0
