reviews,num_arquivos,num_linhas_adicionadas,num_linhas_deletadas,tempo_analise,num_caracteres_descricao,num_participantes,num_comentarios,was_merged
1,1,78,0,29502,23,6,4,False
1,1,1,0,63907,0,8,6,False
2,1,15,0,61265,37,3,0,False
2,1,4,0,59005,0,11,7,False
1,1,1,1,7916,17,3,0,True
1,1,1,1,13167,17,2,0,False
7,1,3,0,56169,88,31,27,True
1,1,5,0,60670,68,106,114,True
2,1,8,7,22589,23,3,1,True
1,1,9,9,15274,49,3,0,False
1,1,3,0,9692,45,5,3,True
1,1,1,1,4984,79,4,1,True
1,1,2,0,10153,0,4,2,False
1,1,1,3,9750,0,3,0,True
2,1,1,1,9218,0,3,0,True
2,1,41,60,57591,0,6,5,True
1,1,1,1,54287,24,3,1,False
1,1,68,28,49645,27,3,0,True
5,1,4,1,9360,6,3,1,True
4,1,34,0,45932,7,18,15,True
3,1,59,0,5924,20,8,4,False
2,1,1,1,6207,0,4,0,True
5,2,34,0,41853,15,16,17,False
1,1,0,0,4184,31,6,4,True
1,1,27,2,39576,0,3,0,False
1,2,31,3,5451,4,4,1,False
2,1,21,0,38431,0,46,67,False
1,1,5,0,14524,36,3,1,True
1,1,47,0,5516,41,16,15,True
1,1,2,0,17476,44,9,7,False
2,1,64,0,5474,20,4,0,False
2,1,102,0,13276,20,8,5,True
1,1,133,0,7819,7,3,1,False
2,1,5,0,78769,31,14,10,False
1,1,1,1,3649,11,7,4,True
4,1,21,0,21188,69,94,160,True
1,1,65,6,16399,8,8,8,False
1,1,1,1,59463,0,3,0,False
1,1,105,0,68439,0,3,2,False
1,2,3,3,66892,0,2,0,True
1,1,0,1,54154,0,3,0,True
4,2,48,122,56237,28,28,28,True
1,22,3701,1,4594,230,2,2,True
1,1,13,2,49455,77,25,53,False
1,1,2,0,13496,42,10,11,True
1,1,2,0,9360,71,6,4,True
2,1,0,1,7335,97,93,152,False
1,1,17,17,5283,11,5,3,True
1,1,8,2,44315,26,3,1,True
4,1,27,0,34573,408,9,5,True
7,1,22,0,38565,0,11,20,True
1,1,21,0,34109,0,3,0,True
1,1,1,0,32638,0,3,0,True
1,9,9,9,24588,55,4,3,False
1,1,41,10,14519,96,5,6,True
1,1,9,10,8229,0,5,3,True
4,2,50,45,83180,52,105,144,False
1,1,2,1,29974,5,16,16,True
1,1,3,3,23844,18,3,0,True
2,1,1,0,22652,6,3,0,True
2,1,1,0,20636,14,4,2,True
2,1,1,0,20543,15,3,0,True
1,1,6,6,19016,49,2,0,True
1,1,4,7,11005,0,2,0,True
1,1,6,6,19655,92,3,0,True
1,1,2,0,15941,141,11,9,False
1,5,29,0,6077,23,19,21,False
5,3,29,0,77179,23,280,594,False
1,1,1,0,6769,0,6,5,False
1,1,1,0,4994,22,3,0,False
1,2,8,1,18504,8,3,0,True
1,1,25,27,14517,16,3,0,False
1,1,3,2,9319,0,3,0,True
1,1,67,66,9728,0,5,2,False
1,1,1,0,6755,14,3,0,True
1,1,1,0,7444,25,8,6,False
1,7,8,8,10280,22,1,0,True
1,1,1,0,9823,0,4,3,True
1,115,0,10300,7946,150,41,45,False
2,1,0,1,7853,201,7,18,True
3,1,1,0,78399,193,2,1,True
1,1,1,0,9142,0,2,1,False
1,1,1,0,58043,0,2,1,True
3,1,1,0,82677,74,2,1,True
2,1,2,1,5088,19,2,1,True
1,1,9,1,12706,104,3,1,True
1,1,2,0,5017,244,3,1,False
1,1,1,0,86078,0,3,1,False
1,1,1,0,15543,0,3,1,False
1,1,1,0,44867,0,2,0,False
1,1,1,0,68872,0,2,1,False
1,1,2,2,73044,0,2,0,False
1,1,1,0,67424,173,2,0,False
1,1,3,3,19775,150,3,0,False
1,1,1,0,68093,11,2,0,False
1,1,1,0,72492,573,3,0,True
2,1,1,0,18385,188,3,0,True
1,1,1,0,5444,60,2,0,False
1,1,0,1,59222,0,3,0,True
1,1,1,0,63445,68,3,1,False
1,1,1,1,72429,109,3,1,True
4,1,1,0,3828,83,5,1,False
1,1,1,1,8229,139,3,1,True
1,1,1,0,29882,82,2,0,False
3,1,1,0,12479,136,4,0,False
1,1,1,0,58906,11,4,1,True
2,1,1,0,55752,48,2,1,True
1,1,1,1,18000,0,3,1,False
3,1,1,0,55369,109,2,0,True
1,1,1,1,47305,142,3,0,True
1,1,1,0,19999,13,2,0,False
1,1,1,0,64483,0,3,0,False
2,1,2,0,24957,91,2,0,False
1,1,2,2,49538,78,2,1,True
1,1,1,1,36971,0,2,1,True
1,1,1,1,77815,3,2,1,True
1,1,8,8,65559,0,3,1,True
1,8,35,35,74038,224,2,2,True
1,3,3,3,40775,0,2,1,True
1,1,1,1,9513,35,2,1,True
1,1,1,0,45901,212,2,1,True
2,1,1,1,36535,0,3,1,True
1,1,2,2,15113,0,2,1,True
2,1,4,1,19760,81,3,4,False
1,1,2,0,41351,134,2,2,True
3,1,1,1,67624,0,5,1,True
1,1,1,1,5365,287,2,1,True
1,1,1797,0,20892,122,2,4,True
1,1,0,0,66724,84,2,2,True
2,1,1,1,14639,0,3,1,True
1,1,1,1,31733,50,2,1,True
1,1,1,1,39682,0,2,1,True
1,2,10,0,57163,27,2,0,False
1,1,1,1,81856,0,2,1,True
1,1,1,1,29265,29,2,1,True
1,1,1,1,33799,204,2,1,True
1,2,2,0,67634,237,2,3,False
2,1,11,0,64673,299,4,12,False
1,1,1,1,43440,0,2,1,True
3,7,78,39,62308,226,2,8,True
1,1,1,0,67329,0,2,2,True
1,1,1,1,48230,91,2,1,True
1,1,2,2,18557,0,2,1,True
6,1,1787,0,74108,40,5,9,True
1,1,1,1,36913,692,3,4,True
1,1,4,3,17410,0,2,2,False
2,1,1,0,14105,0,3,1,True
1,1,1,1,36253,0,2,1,True
3,1,1,1,41960,0,2,3,True
1,1,1,1,44837,0,2,1,True
1,4,4,4,14746,82,2,1,True
8,2,1787,1,78620,203,4,23,True
1,3,18,18,48991,158,2,1,True
1,1,16,16,10516,119,2,1,True
1,1,7,7,60253,0,3,2,True
1,1,3,3,28148,18,2,1,True
2,1,2,2,78480,63,2,4,True
1,1,2,0,59038,84,2,0,True
1,3,5,5,47249,297,2,2,True
2,1,2,2,8980,53,2,1,True
2,1,2,2,8923,39,2,1,True
2,1,2,2,38791,0,3,1,False
2,1,1,1,59508,79,3,4,True
1,2,6,2,59542,578,2,2,True
1,1,1,1,67288,120,2,1,True
1,1,1,1,72657,185,2,1,True
2,1,1,1,84364,22,4,1,True
1,1,2,2,43634,66,2,1,True
1,1,1,1,73277,24,2,1,True
1,1,6,0,43388,36,2,1,True
2,40,152,152,76783,0,3,4,True
1,1,1,1,52304,217,3,2,True
1,1,4,4,74291,0,5,5,True
2,4,15,15,64723,0,3,1,True
1,1,1,1,67181,0,2,1,True
1,5,8,6,85143,0,3,0,False
1,1,2,2,84841,18,2,0,False
1,1,1,1,70591,52,2,1,True
1,1,1,1,33948,24,2,1,True
1,1,2,2,17836,28,3,1,True
