name_with_owner,stars,created_at,releases,loc,cbo,dit,lcom
junit-team/junit5,6112,2015-01-11,66,82718,12370,3777,106882
conductor-oss/conductor,6092,2023-12-08,3,60362,6255,1051,65262
fuzhengwei/itstack-demo-design,6087,2020-05-20,0,3992,466,238,1145
daimajia/NumberProgressBar,6066,2014-05-01,3,380,19,8,551
amitshekhariitbhu/from-java-to-kotlin,6056,2017-05-21,0,37,1,2,0
pedrovgs/EffectiveAndroidUI,6033,2014-07-04,0,1923,324,98,848
quartz-scheduler/quartz,6025,2016-03-07,4,34646,2741,752,57673
rey5137/material,6019,2014-12-09,10,27346,1986,502,16621
graphql-java/graphql-java,6018,2015-07-06,75,63993,10257,1768,40944
singwhatiwanna/dynamic-load-apk,6016,2014-03-30,0,2620,360,90,584
google/physical-web,6007,2014-09-30,17,7481,747,201,4167
google/grafika,5985,2013-12-19,1,10035,660,180,710
wyouflf/xUtils3,5978,2015-10-28,9,12561,1139,307,5984
micronaut-projects/micronaut-core,5925,2018-03-07,219,156273,24952,5779,160215
prolificinteractive/material-calendarview,5910,2015-02-09,22,3658,568,135,6073
haifengl/smile,5901,2014-11-20,26,101890,7338,1836,138481
springfox/springfox,5896,2012-05-06,12,32115,6478,1273,26415
liyifeng1994/ssm,5884,2016-06-18,0,369,79,32,39
weibocom/motan,5866,2016-04-20,24,43397,4682,1146,26401
jOOQ/jOOQ,5846,2011-04-17,44,227567,34596,6655,5223265
lets-blade/blade,5825,2015-06-10,9,15317,1419,379,12942
hazelcast/hazelcast,5808,2012-03-21,197,1054293,130167,29775,732582
Nightonke/BoomMenu,5803,2016-03-19,0,7710,648,181,26182
jeremylong/DependencyCheck,5795,2012-09-03,68,40309,3354,916,37268
confluentinc/ksql,5792,2016-09-27,8,206558,34594,5305,108822
JakeWharton/DiskLruCache,5783,2012-01-05,0,1937,39,16,132
robolectric/robolectric,5782,2010-08-28,98,207309,21387,5109,284376
Devlight/InfiniteCycleViewPager,5762,2016-08-22,2,3564,207,67,4204
yarolegovich/DiscreteScrollView,5742,2017-03-03,2,3698,444,131,2007
springside/springside4,5738,2012-02-23,3,12842,997,402,7807
Vedenin/useful-java-links,5736,2016-02-13,0,5967,606,269,482
hibernate/hibernate-orm,5719,2010-10-04,31,952150,148043,31758,1520569
changmingxie/tcc-transaction,5705,2015-12-05,7,23303,2644,662,15409
dmytrodanylyk/circular-progress-button,5703,2014-06-07,3,1429,155,50,988
btraceio/btrace,5695,2014-08-28,31,39718,3733,1000,76592
k0shk0sh/FastHub,5694,2017-02-18,63,40321,7541,1343,32463
jpush/aurora-imui,5692,2016-12-13,42,17788,1643,523,17192
