number,created_at,merged_at,closed_at,files,additions,deletions,body_text,participants,comments
3648,2016-11-27T04:49:42Z,2016-12-02T12:57:59Z,2016-12-02T12:57:59Z,2,162,33,"Fixed a mistake in calculating the width of the bar when setting the min max option.
The getRuler function performs complicated calculations, but as a result of checking it can be made more simple.
Also fixed the issue that barPercentage is disabled when stacked scale.
Resolves #3589
Testing
I updated the unit test.
Please delete it if it is unnecessary.
Before

https://jsfiddle.net/zf8gt2o6/
After

https://jsfiddle.net/0eaf0vj3/
When added plugin

https://jsfiddle.net/ww2dzrn5/",3,0
3649,2016-11-27T13:56:06Z,2016-11-28T23:28:39Z,2016-11-28T23:28:39Z,1,2,2,"Fixed tooltip labelling on Bar chart when min option was set.
In addition, Fixed the tooltip label problem when 'xLabel' , 'yLabel' was set.
Resolves #3618
Before

All tooltip labels should be May.
https://jsfiddle.net/KoyoSE/bvo2bc5f/1/
After

https://jsfiddle.net/KoyoSE/6f3hbLr1/2/
When added plugin

https://jsfiddle.net/KoyoSE/6f3hbLr1/3/",3,3
3650,2016-11-27T21:47:57Z,2016-11-29T09:43:52Z,2016-11-29T09:43:52Z,1,8,8,"This changes prevents the resize method from notifying plugins if it is a silent resize. A silent resize occurs during startup and we do not want plugins to do anything here because the chart is not set up. In the demo linked below, the legend will always be present at the start regardless of the size. I think the correct solution is to have the plugin in this case use the beforeInit call to do this setup.
An alternative solution was to block update calls when the resize notification is sent from a silent resize. This still has the possibility that the plugin would try and access uninitialized data objects.
Another alternative solution would be to have the resize plugin notification also send the silent parameter. This forces plugins to handle this case, which is non ideal.
This allows us to provide a fix for #1933
Demo: http://jsfiddle.net/aLLzv3vL/3/",2,0
3658,2016-11-30T08:03:27Z,2016-12-03T21:09:45Z,2016-12-03T21:09:45Z,4,40,2,"I tried implementing clipping chart area.
I would be pleased if you like it.
Resolves #3506, #3491, #2873
Bar and Line chart.
Before

https://jsfiddle.net/KoyoSE/n7ben0fx/
After

https://jsfiddle.net/KoyoSE/98x7ny4b/
(Note: jsfeddle takes time to execute.This is because I put the built chart.js in the html area.)
Line chart: The point fades out when going out.
Radar and Scatter chart.
Before

https://jsfiddle.net/KoyoSE/fwt4bxcc/
(Do Radar chart have to consider the drawing of the points below min?)
After

https://jsfiddle.net/KoyoSE/7v3ehcqt/
(Note: jsfeddle takes time to execute.This is because I put the built chart.js in the html area.)
Radar chart: It works the same before. Clipping is not done.
The Radar chart, the following error is displayed on the console.
'Unable to get property 'xAxes' of undefined or null reference'
This is solved by removing #3620.
Other

It may be better to display the tool tip position in the chart area.
Drawing Bezier curve is slightly strange. Especially outside the chart area.

chart.js version v2.4.0",4,2
3674,2016-12-04T03:38:57Z,2016-12-07T23:47:30Z,2016-12-07T23:47:30Z,3,21,15,"Fixes an infinite loop that occurred when generating logarithmic ticks.
Resolves #3381
Also fixes a newly introduced (v2.5.0 dev) bug when the tick marks are not drawn but the labels are. The labels would be offset as if the tick marks were there which was incorrect.",2,0
3680,2016-12-06T03:42:40Z,2016-12-20T14:01:08Z,2016-12-20T14:01:08Z,3,53,75,"I changed draw function for bar.
Thank you for your review.
Summary

Chart.elements.Rectangle.draw function supports both horizontal and vertical bar.
Corrected bar position at minus.
Adjust bar size when borderWidth is set.
Adjust bar size when borderSkipped is set.
Adjust borderWidth with value near 0(base).
Update unit test.

borderWidth = non, 5 ,20
before

https://jsfiddle.net/KoyoSE/k8b3mrb4/
after

https://jsfiddle.net/KoyoSE/ovf9w8dy/
borderSkipped = 'right'
before

https://jsfiddle.net/KoyoSE/944rde4k/
after

https://jsfiddle.net/KoyoSE/1L9jw9xz/",3,6
3685,2016-12-06T14:48:22Z,2016-12-14T02:22:02Z,2016-12-14T02:22:02Z,3,11,2,"This PR fixes an error where if  generationOptions.max or generationOptions.min is calculated to an almost whole number (ie 9.999) then we display the number as 10 on the scale,  but calculating an evenly spaced  scale is not possible (eg stepSize is 2) as the check fails.
By applying an almost whole check we are able to mitigate for FP arithmetic inconsistencies that would cause this behaviour
Please consider the following before submitting a pull request:
Guidelines for contributing: https://github.com/chartjs/Chart.js/blob/master/CONTRIBUTING.md
Example of changes on an interactive website such as the following:

http://jsbin.com/
http://jsfiddle.net/
http://codepen.io/pen/
Premade template: http://codepen.io/pen?template=JXVYzq",3,0
3699,2016-12-09T01:58:12Z,2016-12-18T14:11:58Z,2016-12-18T14:11:58Z,3,75,11,"When a logarithmic scale is used for as the vertical axis of a stacked bar chart, the base value of 0 caused a problem. The solution is to add an item to the scale interface getBaseValue that gets the value in dataspace coordinates that corresponds to the pixel returned by getBasePixel.
I added a test to cover this case.
Resolves #3585",2,1
3713,2016-12-16T07:24:47Z,2016-12-17T00:59:32Z,2016-12-17T00:59:32Z,1,1,1,"I fixed a simple mistake.
Shall I create jsfiddle?
Just changed sie to size.",3,1
3718,2016-12-19T01:14:32Z,2016-12-21T15:22:06Z,2016-12-21T15:22:06Z,9,677,455,"First revision of the implementation of https://simonbrunel.gitbooks.io/chartjs-proposals/content/Platform.html#event-management
The BrowserPlatform class is attached to each chart to handle browser specific logic. This can be replaced on a different platform. BrowserPlatform implements IPlatform (the general interface that all platform implementations must support). Chart.Platform is the constructor for the platform object that is attached to the chart instance.
Plugins are notified about the event using the onEvent call. The legend plugin was converted to use onEvent instead of the older private handleEvent method.
Wrote test to check that plugins are notified about events",2,1
